,Unnamed: 0,TIME OCC,AREA ,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Premis Cd,Weapon Used Cd,Crm Cd 1,LAT,LON,ELEV,Date,Month
774096,774096,1545,20,2054,2,624,13,102,400,624,34.0597,-118.302,0,2013-04-04,4
347593,347593,1530,4,416,2,354,19,501,0,354,34.0803,-118.207,0,2011-06-30,6
447047,447047,930,20,2083,2,860,25,203,400,860,34.0418,-118.309,0,2012-09-07,9
327753,327753,500,13,1352,1,310,64,501,0,310,34.001999999999995,-118.274,0,2011-07-05,7
513618,513618,1200,18,1826,2,354,30,501,0,354,33.9494,-118.2453,0,2012-09-10,9
759502,759502,1320,9,931,1,442,0,403,0,442,34.183,-118.4662,0,2013-06-02,6
86506,86506,1500,10,1047,1,310,21,501,0,310,34.1732,-118.5105,0,2010-11-05,11
584537,584537,2110,14,1473,1,210,47,102,511,210,33.9613,-118.4434,0,2012-04-18,4
20123,20123,1220,3,363,1,440,16,404,0,440,34.0102,-118.3351,0,2010-05-06,5
372706,372706,2030,7,722,2,850,0,503,0,850,34.0727,-118.37,0,2011-02-08,2
270206,270206,1230,11,1181,1,310,59,502,0,310,34.0797,-118.2689,0,2011-08-12,8
410251,410251,1945,16,1633,1,440,47,502,0,440,34.2678,-118.3996,0,2012-05-21,5
316536,316536,1000,1,162,2,946,39,101,511,946,34.0479,-118.2612,0,2011-08-16,8
291290,291290,2359,14,1456,2,624,72,502,400,624,33.9962,-118.4198,0,2011-02-26,2
807488,807488,1137,10,1001,2,901,66,501,0,901,34.2193,-118.5492,0,2014-10-16,10
742751,742751,1210,17,1753,2,624,17,108,400,624,34.2573,-118.5798,0,2013-07-16,7
764774,764774,2000,7,738,1,210,19,102,511,210,34.062,-118.3331,0,2013-01-09,1
878713,878713,1930,18,1801,1,510,0,101,0,510,33.958,-118.2869,0,2014-10-10,10
566223,566223,1320,13,1391,2,624,0,301,400,624,33.9747,-118.2783,0,2012-01-15,1
487457,487457,1700,7,715,1,442,31,203,0,442,34.0762,-118.3441,0,2012-12-11,12
460794,460794,2300,15,1583,1,330,40,707,0,330,34.1479,-118.3877,0,2012-09-16,9
992271,992271,2140,21,2139,2,946,45,101,400,946,34.2012,-118.5623,0,2014-01-08,1
588858,588858,2130,18,1881,1,510,0,105,0,510,33.8889,-118.2916,0,2012-10-19,10
574614,574614,1300,16,1681,2,745,55,101,0,745,34.2217,-118.41,0,2012-04-26,4
599609,599609,2015,6,679,2,930,34,502,200,930,34.0849,-118.3005,0,2012-07-09,7
170850,170850,115,18,1851,1,210,21,101,109,210,33.9165,-118.2916,0,2010-11-02,11
653278,653278,1200,16,1656,2,354,32,501,0,354,34.2561,-118.3114,0,2013-02-08,2
373282,373282,2250,20,2001,1,210,37,101,102,210,34.0763,-118.317,0,2011-10-06,10
633386,633386,1200,9,919,2,740,51,502,0,740,34.194,-118.4268,0,2013-11-29,11
492361,492361,1400,15,1545,1,420,42,101,0,420,34.1594,-118.3954,0,2012-09-16,9
450877,450877,1710,16,1693,2,624,19,101,400,624,34.2094,-118.4053,0,2012-08-14,8
47150,47150,2330,6,622,2,860,25,101,400,860,34.1133,-118.3681,0,2010-03-31,3
86107,86107,1730,10,1023,1,331,33,103,0,331,34.201,-118.5492,0,2010-10-27,10
745438,745438,1240,15,1525,1,343,0,404,0,343,34.1815,-118.3965,0,2013-03-29,3
983964,983964,1300,15,1549,2,624,25,502,400,624,34.1685,-118.3743,0,2014-08-06,8
67955,67955,1130,8,839,2,668,37,602,0,668,34.0586,-118.4164,0,2010-04-19,4
436063,436063,200,18,1862,1,350,18,102,400,350,33.931,-118.2826,0,2012-07-15,7
156813,156813,1300,17,1794,2,354,31,501,0,354,34.2211,-118.5455,0,2010-03-18,3
275787,275787,5,3,325,1,330,18,101,0,330,34.0305,-118.2915,0,2011-02-06,2
882936,882936,2020,19,1981,1,231,0,108,307,231,34.2265,-118.4677,0,2014-10-30,10
